Orthogroup	c1	c2	c3	c4	c5
OG0000000	lcl|NC_000922.1_prot_NP_224221.1_8, lcl|NC_000922.1_prot_NP_224249.1_33, lcl|NC_000922.1_prot_NP_224251.1_35, lcl|NC_000922.1_prot_NP_225248.1_1009, lcl|NC_000922.1_prot_NP_225249.1_1010	lcl|NC_005043.1_prot_10, lcl|NC_005043.1_prot_WP_010882663.1_8, lcl|NC_005043.1_prot_WP_010892161.1_43, lcl|NC_005043.1_prot_WP_072054079.1_1057, lcl|NC_005043.1_prot_WP_080502213.1_45	lcl|NC_002491.1_prot_WP_010882663.1_8, lcl|NC_002491.1_prot_WP_010892159.1_46, lcl|NC_002491.1_prot_WP_010892161.1_44, lcl|NC_002491.1_prot_WP_080502225.1_10, lcl|NC_002491.1_prot_WP_080502226.1_48, lcl|NC_002491.1_prot_WP_080502230.1_1060	lcl|NC_017285.1_prot_WP_014518046.1_725	lcl|AE002161.1_prot_AAF38533.1_717, lcl|AE002161.1_prot_AAF38535.1_719, lcl|AE002161.1_prot_AAF38536.1_720, lcl|AE002161.1_prot_AAF38537.1_721, lcl|AE002161.1_prot_AAF38538.1_722, lcl|AE002161.1_prot_AAF38564.1_750, lcl|AE002161.1_prot_AAF38566.1_752, lcl|AE002161.1_prot_AAF38594.1_781, lcl|AE002161.1_prot_AAF38595.1_782, lcl|AE002161.1_prot_AAF38596.1_783
OG0000001	lcl|NC_000922.1_prot_NP_224222.1_9, lcl|NC_000922.1_prot_NP_224250.1_34, lcl|NC_000922.1_prot_NP_225250.1_1011	lcl|NC_005043.1_prot_WP_010883689.1_1058, lcl|NC_005043.1_prot_WP_072054065.1_9, lcl|NC_005043.1_prot_WP_072054067.1_44	lcl|NC_002491.1_prot_WP_010883689.1_1061, lcl|NC_002491.1_prot_WP_072054065.1_9, lcl|NC_002491.1_prot_WP_072054067.1_45	lcl|NC_017285.1_prot_WP_080511695.1_690, lcl|NC_017285.1_prot_WP_080511697.1_724, lcl|NC_017285.1_prot_WP_080511698.1_726, lcl|NC_017285.1_prot_WP_080511718.1_691, lcl|NC_017285.1_prot_WP_080511719.1_752	lcl|AE002161.1_prot_AAF38565.1_751, lcl|AE002161.1_prot_AAF38593.1_780
OG0000002	lcl|NC_000922.1_prot_NP_224646.1_415	lcl|NC_005043.1_prot_WP_010892028.1_443, lcl|NC_005043.1_prot_WP_010895268.1_20, lcl|NC_005043.1_prot_WP_011126044.1_17, lcl|NC_005043.1_prot_WP_011126144.1_446	lcl|NC_002491.1_prot_WP_010892026.1_450, lcl|NC_002491.1_prot_WP_010892028.1_447, lcl|NC_002491.1_prot_WP_010895265.1_17, lcl|NC_002491.1_prot_WP_010895268.1_21	lcl|NC_017285.1_prot_WP_014517694.1_297, lcl|NC_017285.1_prot_WP_014517698.1_300, lcl|NC_017285.1_prot_WP_014518041.1_718	lcl|AE002161.1_prot_AAF38160.1_299, lcl|AE002161.1_prot_AAF38164.1_303
OG0000003	lcl|NC_000922.1_prot_NP_224373.1_150, lcl|NC_000922.1_prot_NP_224376.1_153	lcl|NC_005043.1_prot_WP_010882818.1_165, lcl|NC_005043.1_prot_WP_011126078.1_162	lcl|NC_002491.1_prot_WP_010882815.1_166, lcl|NC_002491.1_prot_WP_010882818.1_169	lcl|NC_017285.1_prot_WP_014517914.1_570, lcl|NC_017285.1_prot_WP_035416777.1_575, lcl|NC_017285.1_prot_WP_080511715.1_573	lcl|AE002161.1_prot_AAF38419.1_592, lcl|AE002161.1_prot_AAF38422.1_595
OG0000004	lcl|NC_000922.1_prot_NP_224351.1_129, lcl|NC_000922.1_prot_NP_224648.1_417	lcl|NC_005043.1_prot_WP_010882793.1_140, lcl|NC_005043.1_prot_WP_010883091.1_445	lcl|NC_002491.1_prot_WP_010882793.1_144, lcl|NC_002491.1_prot_WP_010883091.1_449	lcl|NC_017285.1_prot_WP_014517939.1_595, lcl|NC_017285.1_prot_WP_035416660.1_298	lcl|AE002161.1_prot_AAF38162.1_301, lcl|AE002161.1_prot_AAF38445.1_619
OG0000005	lcl|NC_000922.1_prot_NP_224404.1_179, lcl|NC_000922.1_prot_NP_224405.1_180	lcl|NC_005043.1_prot_WP_010882846.1_192, lcl|NC_005043.1_prot_WP_010882847.1_193	lcl|NC_002491.1_prot_WP_010882846.1_196, lcl|NC_002491.1_prot_WP_010882847.1_197	lcl|NC_017285.1_prot_WP_014517896.1_549, lcl|NC_017285.1_prot_WP_014517897.1_550	lcl|AE002161.1_prot_AAF38390.1_561, lcl|AE002161.1_prot_AAF38391.1_562
OG0000006	lcl|NC_000922.1_prot_NP_224461.1_232, lcl|NC_000922.1_prot_NP_224464.1_235	lcl|NC_005043.1_prot_WP_010882904.1_251, lcl|NC_005043.1_prot_WP_010882907.1_254	lcl|NC_002491.1_prot_WP_010882904.1_255, lcl|NC_002491.1_prot_WP_010882907.1_258	lcl|NC_017285.1_prot_WP_014517843.1_486, lcl|NC_017285.1_prot_WP_080511713.1_489	lcl|AE002161.1_prot_AAF38332.1_497, lcl|AE002161.1_prot_AAF38335.1_500
OG0000007	lcl|NC_000922.1_prot_NP_224665.1_432, lcl|NC_000922.1_prot_NP_224667.1_433	lcl|NC_005043.1_prot_WP_010883107.1_462, lcl|NC_005043.1_prot_WP_010892014.1_466	lcl|NC_002491.1_prot_WP_010892014.1_470, lcl|NC_002491.1_prot_WP_010895328.1_466	lcl|NC_017285.1_prot_278, lcl|NC_017285.1_prot_WP_049755959.1_281	lcl|AE002161.1_prot_AAF38141.1_280, lcl|AE002161.1_prot_AAF38142.1_281
OG0000008	lcl|NC_000922.1_prot_NP_224758.1_524, lcl|NC_000922.1_prot_NP_225122.1_885	lcl|NC_005043.1_prot_WP_010883200.1_558, lcl|NC_005043.1_prot_WP_010883562.1_928	lcl|NC_002491.1_prot_WP_010883562.1_932, lcl|NC_002491.1_prot_WP_010891985.1_562	lcl|NC_017285.1_prot_WP_014517602.1_186, lcl|NC_017285.1_prot_WP_014518174.1_884	lcl|AE002161.1_prot_AAF38061.1_186, lcl|AE002161.1_prot_AAF38722.1_923
OG0000009	lcl|NC_000922.1_prot_NP_225123.1_886, lcl|NC_000922.1_prot_NP_225124.1_887	lcl|NC_005043.1_prot_WP_010883563.1_929, lcl|NC_005043.1_prot_WP_010883564.1_930	lcl|NC_002491.1_prot_WP_010883563.1_933, lcl|NC_002491.1_prot_WP_010892227.1_934	lcl|NC_017285.1_prot_WP_014518172.1_882, lcl|NC_017285.1_prot_WP_014518173.1_883	lcl|AE002161.1_prot_AAF38720.1_921, lcl|AE002161.1_prot_AAF38721.1_922
OG0000010	lcl|NC_000922.1_prot_NP_225171.1_933, lcl|NC_000922.1_prot_NP_225172.1_934	lcl|NC_005043.1_prot_WP_010883610.1_979, lcl|NC_005043.1_prot_WP_010883611.1_980	lcl|NC_002491.1_prot_WP_010895398.1_983	lcl|NC_017285.1_prot_WP_014518125.1_829, lcl|NC_017285.1_prot_WP_014518135.1_837, lcl|NC_017285.1_prot_WP_080511704.1_830	lcl|AE002161.1_prot_AAF38666.1_863, lcl|AE002161.1_prot_AAF38667.1_864
OG0000011	lcl|NC_000922.1_prot_NP_224365.1_142, lcl|NC_000922.1_prot_NP_224367.1_144	lcl|NC_005043.1_prot_WP_010882807.1_154, lcl|NC_005043.1_prot_WP_010882809.1_156	lcl|NC_002491.1_prot_WP_010882807.1_158, lcl|NC_002491.1_prot_WP_010882809.1_160	lcl|NC_017285.1_prot_WP_014517924.1_583	lcl|AE002161.1_prot_AAF38428.1_601, lcl|AE002161.1_prot_AAF38429.1_603
OG0000012	lcl|NC_000922.1_prot_NP_224664.1_431	lcl|NC_005043.1_prot_WP_010895330.1_464, lcl|NC_005043.1_prot_WP_041466960.1_461	lcl|NC_002491.1_prot_WP_010883106.1_465, lcl|NC_002491.1_prot_WP_010895330.1_468	lcl|NC_017285.1_prot_WP_014517677.1_280, lcl|NC_017285.1_prot_WP_014517679.1_282, lcl|NC_017285.1_prot_WP_080511711.1_279	lcl|AE002161.1_prot_AAF38143.1_282
OG0000013	lcl|NC_000922.1_prot_NP_225024.1_788, lcl|NC_000922.1_prot_NP_225025.1_789	lcl|NC_005043.1_prot_WP_010883466.1_829, lcl|NC_005043.1_prot_WP_010883467.1_830	lcl|NC_002491.1_prot_WP_010883466.1_833, lcl|NC_002491.1_prot_WP_010895377.1_834	lcl|NC_017285.1_prot_980	lcl|AE002161.1_prot_AAF38816.1_1023, lcl|AE002161.1_prot_AAF38817.1_1024
OG0000014	lcl|NC_000922.1_prot_NP_224462.1_233	lcl|NC_005043.1_prot_WP_011126092.1_252, lcl|NC_005043.1_prot_WP_011126093.1_256	lcl|NC_002491.1_prot_WP_010882905.1_256, lcl|NC_002491.1_prot_WP_011126093.1_260	lcl|NC_017285.1_prot_WP_014517842.1_485, lcl|NC_017285.1_prot_WP_014517845.1_488	lcl|AE002161.1_prot_AAF38334.1_499
OG0000015	lcl|NC_000922.1_prot_NP_224463.1_234	lcl|NC_005043.1_prot_WP_010882906.1_253, lcl|NC_005043.1_prot_WP_010895306.1_250	lcl|NC_002491.1_prot_WP_010882906.1_257, lcl|NC_002491.1_prot_WP_010895306.1_254	lcl|NC_017285.1_prot_490, lcl|NC_017285.1_prot_WP_014517844.1_487	lcl|AE002161.1_prot_AAF38333.1_498
OG0000016	lcl|NC_000922.1_prot_NP_224647.1_416	lcl|NC_005043.1_prot_WP_010883090.1_444, lcl|NC_005043.1_prot_WP_010895264.1_16	lcl|NC_002491.1_prot_WP_010883090.1_448, lcl|NC_002491.1_prot_WP_010895264.1_16	lcl|NC_017285.1_prot_WP_014517697.1_299, lcl|NC_017285.1_prot_WP_049755964.1_719	lcl|AE002161.1_prot_AAF38163.1_302
OG0000017	lcl|NC_000922.1_prot_NP_224431.1_202	lcl|NC_005043.1_prot_WP_010882873.1_219	lcl|NC_002491.1_prot_WP_010882873.1_223	lcl|NC_017285.1_prot_521, lcl|NC_017285.1_prot_WP_014517873.1_523	lcl|AE002161.1_prot_AAF38365.1_534, lcl|AE002163.1_prot_AAF39720.1_1116
OG0000018	lcl|NC_000922.1_prot_NP_225162.1_925, lcl|NC_000922.1_prot_NP_225164.1_926	lcl|NC_005043.1_prot_WP_010883602.1_971	lcl|NC_002491.1_prot_WP_010883602.1_975	lcl|NC_017285.1_prot_WP_014518141.1_842	lcl|AE002161.1_prot_AAF38677.1_874, lcl|AE002161.1_prot_AAF38678.1_876
OG0000019	lcl|NC_000922.1_prot_NP_224321.1_102, lcl|NC_000922.1_prot_NP_224772.1_538	lcl|NC_005043.1_prot_WP_010882763.1_111	lcl|NC_002491.1_prot_WP_010882763.1_115	lcl|NC_017285.1_prot_WP_010882763.1_624	lcl|AE002161.1_prot_AAF38472.1_649
OG0000020	lcl|NC_000922.1_prot_NP_224663.1_430	lcl|NC_005043.1_prot_WP_010883105.1_460	lcl|NC_002491.1_prot_WP_010892016.1_464	lcl|NC_017285.1_prot_283, lcl|NC_017285.1_prot_286	lcl|AE002161.1_prot_AAF38144.1_283
OG0000021	lcl|NC_000922.1_prot_NP_224812.1_578	lcl|NC_005043.1_prot_WP_010891973.1_613	lcl|NC_002491.1_prot_WP_010891973.1_617	lcl|NC_017285.1_prot_WP_014517559.1_131, lcl|NC_017286.1_prot_WP_014518310.1_1068	lcl|AE002161.1_prot_AAF38014.1_130
OG0000022	lcl|NC_000922.1_prot_NP_224999.1_763	lcl|NC_005043.1_prot_WP_010883441.1_804	lcl|NC_002491.1_prot_WP_010883441.1_808	lcl|NC_017285.1_prot_WP_010883441.1_1005, lcl|NC_017286.1_prot_WP_014518307.1_1065	lcl|AE002161.1_prot_AAF38839.1_1049
OG0000023	lcl|NC_000922.1_prot_NP_225000.1_764	lcl|NC_005043.1_prot_WP_010883442.1_805	lcl|NC_002491.1_prot_WP_010883442.1_809	lcl|NC_017285.1_prot_WP_010883442.1_1004, lcl|NC_017286.1_prot_1064	lcl|AE002161.1_prot_AAF38838.1_1048
