# Species	Genes	Alg.-Conn.	s6.faa	s7.faa	s5.faa	s3.faa	s4.faa	s2.faa	s1.faa
6	6	1	lcl|NC_009782.1_prot_110	lcl|NC_009641.1_prot_WP_001151814.1_61	lcl|NC_002758.2_prot_110	*	lcl|NC_002745.2_prot_110	lcl|NC_007622.1_prot_WP_000170483.1_56	lcl|NC_007795.1_prot_YP_498667.1_59
5	9	0.111	lcl|NC_009782.1_prot_1134,lcl|NC_009782.1_prot_2757	lcl|NC_009641.1_prot_1861,lcl|NC_009641.1_prot_1056	lcl|NC_002758.2_prot_2756,lcl|NC_002758.2_prot_1133	lcl|NC_017333.1_prot_WP_001826090.1_2460	lcl|NC_002745.2_prot_1018,lcl|NC_002745.2_prot_2648	*	*
7	7	1	lcl|NC_009782.1_prot_1218	lcl|NC_009641.1_prot_1205	lcl|NC_002758.2_prot_1217	lcl|NC_017333.1_prot_WP_000046704.1_1207	lcl|NC_002745.2_prot_1102	lcl|NC_007622.1_prot_1093	lcl|NC_007795.1_prot_YP_499640.1_1003
7	7	1	lcl|NC_009782.1_prot_1233	lcl|NC_009641.1_prot_WP_001791789.1_1220	lcl|NC_002758.2_prot_1232	lcl|NC_017333.1_prot_WP_031774831.1_1222	lcl|NC_002745.2_prot_1117	lcl|NC_007622.1_prot_1108	lcl|NC_007795.1_prot_YP_499655.1_1018
4	4	1	lcl|NC_009782.1_prot_1279	lcl|NC_009641.1_prot_1264	lcl|NC_002758.2_prot_1278	*	lcl|NC_002745.2_prot_1163	*	*
5	5	1	lcl|NC_009782.1_prot_1404	lcl|NC_009641.1_prot_WP_001791646.1_1389	lcl|NC_002758.2_prot_1403	*	lcl|NC_002745.2_prot_1288	*	lcl|NC_007795.1_prot_YP_499825.1_1183
5	5	1	lcl|NC_009782.1_prot_1407	lcl|NC_009641.1_prot_WP_000624956.1_1400	lcl|NC_002758.2_prot_1406	*	lcl|NC_002745.2_prot_1291	*	lcl|NC_007795.1_prot_YP_499836.1_1192
5	5	1	lcl|NC_009782.1_prot_1412	lcl|NC_009641.1_prot_WP_000593436.1_1405	lcl|NC_002758.2_prot_1411	*	lcl|NC_002745.2_prot_WP_000593436.1_1296	*	lcl|NC_007795.1_prot_YP_499841.1_1197
6	6	1	lcl|NC_009782.1_prot_1538	lcl|NC_009641.1_prot_1531	lcl|NC_002758.2_prot_1537	lcl|NC_017333.1_prot_WP_001109385.1_1520	lcl|NC_002745.2_prot_1422	*	lcl|NC_007795.1_prot_YP_499969.1_1316
5	5	0.6	lcl|NC_009782.1_prot_1711	lcl|NC_009641.1_prot_847	lcl|NC_002758.2_prot_1710	*	lcl|NC_002745.2_prot_1595	lcl|NC_007622.1_prot_21	*
7	7	1	lcl|NC_009782.1_prot_1793	lcl|NC_009641.1_prot_WP_001790561.1_1776	lcl|NC_002758.2_prot_1792	lcl|NC_017333.1_prot_WP_001790561.1_1834	lcl|NC_002745.2_prot_1677	lcl|NC_007622.1_prot_WP_001790561.1_1664	lcl|NC_007795.1_prot_YP_500288.1_1624
5	5	1	lcl|NC_009782.1_prot_1836	lcl|NC_009641.1_prot_WP_001789981.1_1818	lcl|NC_002758.2_prot_1835	*	lcl|NC_002745.2_prot_1719	*	lcl|NC_007795.1_prot_YP_500331.1_1664
7	7	1	lcl|NC_009782.1_prot_1882	lcl|NC_009641.1_prot_WP_000285019.1_1865	lcl|NC_002758.2_prot_1881	lcl|NC_017333.1_prot_WP_000285001.1_1920	lcl|NC_002745.2_prot_WP_000285020.1_1765	lcl|NC_007622.1_prot_WP_000284995.1_1750	lcl|NC_007795.1_prot_YP_500375.1_1707
6	6	1	lcl|NC_009782.1_prot_1883	lcl|NC_009641.1_prot_WP_001050548.1_1866	lcl|NC_002758.2_prot_1882	lcl|NC_017333.1_prot_WP_001050515.1_1921	lcl|NC_002745.2_prot_WP_001050566.1_1766	*	lcl|NC_007795.1_prot_YP_500376.1_1708
6	6	1	lcl|NC_009782.1_prot_1973	lcl|NC_009641.1_prot_1967	lcl|NC_002758.2_prot_1972	lcl|NC_017333.1_prot_2021	lcl|NC_002745.2_prot_1856	lcl|NC_007622.1_prot_1921	*
6	6	0.167	lcl|NC_009782.1_prot_1982	lcl|NC_009641.1_prot_WP_001797545.1_1977	lcl|NC_002758.2_prot_1981	lcl|NC_017333.1_prot_WP_078064775.1_2030	lcl|NC_002745.2_prot_1865	lcl|NC_007622.1_prot_WP_078062721.1_1930	*
