number Species	Genes	Alg.-Conn.	r1.faa	r2.faa	r3.faa	r4.faa	r5.faa	r6.faa	r7.faa
7	11	0.12	WP_010977632.1,WP_010977633.1	WP_011191120.1	WP_011477180.1	WP_014362493.1,WP_012151195.1	WP_014392671.1,WP_014392672.1	NP_221049.1,NP_221050.1	WP_014411796.1
7	8	0.175	WP_016830915.1	WP_011191102.1	WP_041804611.1,WP_011477745.1	WP_012151183.1	WP_014392661.1	YP_008550188.1	WP_004599529.1
7	7	0.88	WP_010976696.1	WP_011190483.1	WP_011477846.1	WP_012150231.1	WP_053350873.1	NP_220403.1	WP_004596702.1
7	7	0.873	WP_010976896.1	WP_011190647.1	WP_011477772.1	WP_075807899.1	WP_053350921.1	NP_220574.1	WP_004595925.1
7	7	0.872	WP_010977292.1	WP_004597739.1	WP_011477345.1	WP_010977292.1	WP_014392276.1	NP_220873.1	WP_004597739.1
7	7	0.871	WP_004997839.1	WP_004596242.1	WP_011477698.1	WP_012151134.1	WP_008580920.1	NP_221000.1	WP_004596242.1
7	7	0.868	WP_010977145.1	WP_014419428.1	WP_011477536.1	WP_012150704.1	WP_014392139.1	NP_220755.1	WP_004599434.1
7	7	0.868	WP_010977294.1	WP_014419440.1	WP_011477344.1	WP_012150857.1	WP_014392277.1	NP_220872.1	WP_014411711.1
7	7	0.866	WP_004997480.1	WP_011191169.1	WP_011478056.1	WP_004997480.1	WP_004997480.1	NP_221103.1	WP_004597000.1
7	7	0.866	WP_010977575.1	WP_011191070.1	WP_011477697.1	WP_012151133.1	WP_045800466.1	NP_220999.1	WP_004599184.1
7	7	0.864	WP_010977456.1	WP_011190999.1	WP_011477004.1	WP_012151016.1	WP_053351027.1	NP_220934.1	WP_004599035.1
7	7	0.863	WP_004996787.1	WP_011190535.1	WP_011477947.1	WP_012150325.1	WP_014391822.1	NP_220464.1	WP_004596558.1
7	7	0.863	WP_010976818.1	WP_011190508.1	WP_011477919.1	WP_012150361.1	WP_014391789.1	NP_220495.1	WP_004596464.1
7	7	0.863	WP_010977230.1	WP_011190881.1	WP_011477884.1	WP_012150790.1	WP_053350996.1	NP_220814.1	WP_004597644.1
7	7	0.862	WP_004995678.1	WP_011190942.1	WP_011477440.1	WP_004995678.1	WP_014392272.1	NP_220879.1	WP_004597748.1
7	7	0.862	WP_010976840.1	WP_011190585.1	WP_011477830.1	WP_004996654.1	WP_014391837.1	NP_220515.1	WP_014411734.1
7	7	0.862	WP_010976850.1	WP_011190600.1	WP_011477813.1	WP_014362285.1	WP_014391850.1	NP_220530.1	WP_004597183.1
7	7	0.862	WP_010976858.1	WP_011190608.1	WP_011477798.1	WP_012150405.1	WP_053350903.1	NP_220538.1	WP_004597207.1
7	7	0.862	WP_010977555.1	WP_011191052.1	WP_011477143.1	WP_012151112.1	WP_014392597.1	NP_220985.1	WP_004599170.1
7	7	0.862	WP_041471756.1	WP_014419402.1	WP_011477790.1	WP_012150413.1	WP_053350907.1	NP_220546.1	WP_004598633.1
7	7	0.861	WP_010977533.1	WP_011191044.1	WP_011477532.1	WP_004997918.1	WP_011270688.1	NP_220978.1	WP_004597961.1
7	7	0.861	WP_010977828.1	WP_008579354.1	WP_011476840.1	WP_010977828.1	WP_014392836.1	NP_221163.1	WP_004596875.1
7	7	0.86	WP_004997824.1	WP_011191077.1	WP_011477705.1	WP_012151141.1	WP_045800468.1	NP_221007.1	WP_004596225.1
7	7	0.86	WP_010977490.1	WP_011191019.1	WP_011477660.1	WP_012151049.1	WP_053351022.1	NP_220953.1	WP_004599011.1
7	7	0.86	WP_010977838.1	WP_011191241.1	WP_011476851.1	WP_012151385.1	WP_014392845.1	NP_221173.1	WP_004599671.1
7	7	0.86	WP_016830982.1	WP_011191229.1	WP_011476713.1	WP_012736865.1	WP_053351133.1	NP_221160.1	WP_004599662.1
7	7	0.858	WP_004997806.1	WP_011191084.1	WP_011477714.1	WP_012151148.1	WP_011270636.1	NP_221016.1	WP_004596206.1
7	7	0.858	WP_010976978.1	WP_011190695.1	WP_011477635.1	WP_012150535.1	WP_014391965.1	NP_220621.1	WP_004598539.1
